,Endothelial_2_corr,Endothelial_2_pval,Endothelial_2_qval,Endothelial_2_ci_low,Endothelial_2_ci_high,gene_annotation
ENSMUSG00000020034,-0.18635021826969808,0.0,0.0,-0.1957160689875812,-0.17695037550666726,Tcp11l2
ENSMUSG00000074195,-0.1866213021392499,0.0,0.0,-0.1959861472089154,-0.17722241914148595,Clca4b
ENSMUSG00000045319,-0.18695657102676455,0.0,0.0,-0.1963201703739018,-0.17755887702629738,Proser2
ENSMUSG00000018581,-0.18698539660930885,0.0,0.0,-0.19634888875087672,-0.17758780493842882,Dnah11
ENSMUSG00000070023,-0.18699679894669163,0.0,0.0,-0.19636024867725596,-0.17759924775810507,Gm10283
ENSMUSG00000048186,-0.18720522463010075,0.0,0.0,-0.1965678986782553,-0.17780841387349117,Bend7
ENSMUSG00000035559,-0.18728706749998694,0.0,0.0,-0.1966494367299582,-0.17789054772223334,Mpv17l2
ENSMUSG00000038167,-0.18733594115040306,0.0,0.0,-0.1966981282920431,-0.17793959519730493,Plekhg6
ENSMUSG00000024485,-0.18741202557210274,0.0,0.0,-0.1967739291544647,-0.17801595031475323,Slc4a9
ENSMUSG00000048424,-0.1874536685831625,0.0,0.0,-0.19681541691866106,-0.17805774153264822,Ranbp3l
ENSMUSG00000027463,-0.1874720807709557,0.0,0.0,-0.19683376045436973,-0.17807621925994047,Slc52a3
ENSMUSG00000031803,-0.18755526251024007,0.0,0.0,-0.19691663195871964,-0.1781596971731616,B3gnt3
ENSMUSG00000025207,-0.18773835843093653,0.0,0.0,-0.1970990445328839,-0.1783434454951359,Sema4g
ENSMUSG00000027356,-0.18777674096547842,0.0,0.0,-0.19713728373480857,-0.17838196487612273,Fermt1
ENSMUSG00000029134,-0.18796765100961457,0.0,0.0,-0.1973274804368534,-0.17857355600558125,Plb1
ENSMUSG00000027624,-0.18860173715356057,0.0,0.0,-0.19795919223899489,-0.17920990940990117,Epb41l1
ENSMUSG00000026956,-0.18868176596047984,0.0,0.0,-0.19803892082483573,-0.17929022492912128,Uap1l1
ENSMUSG00000041372,-0.18923755140688817,0.0,0.0,-0.19859261787491211,-0.17984800499369688,B4galnt3
ENSMUSG00000021795,-0.18924583521189292,0.0,0.0,-0.19860087050786887,-0.17985631857351672,Sftpd
ENSMUSG00000036687,-0.18931597004249753,0.0,0.0,-0.19867074136718413,-0.17992670554632917,Tmem184a
ENSMUSG00000022040,-0.18951892215245975,0.0,0.0,-0.19887292907659776,-0.18013038783247823,Ephx2
