,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000085865,0.46803421691340685,0.0,0.0,0.462895448653139,0.473141526605693,Gm15966
ENSMUSG00000028111,0.4679825644694844,0.0,0.0,0.4628434798192838,0.4730901920761914,Ctsk
ENSMUSG00000036832,0.46788711530143823,0.0,0.0,0.4627474460834589,0.4729953302947406,Lpar3
ENSMUSG00000090173,0.46788503859750735,0.0,0.0,0.4627453566623274,0.4729932663693643,Fbxw10
ENSMUSG00000059654,0.46769041792601523,0.0,0.0,0.46254954443735175,0.47279984300583466,Reg1
ENSMUSG00000048766,0.4676425941608982,0.0,0.0,0.4625014279508396,0.47275231337755025,Skint10
ENSMUSG00000022477,0.4675892884756001,0.0,0.0,0.4624477960259044,0.47269933551022547,Aco2
ENSMUSG00000048776,0.4674573316386923,0.0,0.0,0.462315031753112,0.4725681900192843,Pthlh
ENSMUSG00000072553,0.4674379227172523,0.0,0.0,0.4622955040891083,0.4725489004158785,Gm525
ENSMUSG00000055148,0.46738594897498537,0.0,0.0,0.4622432123993087,0.4724972461626025,Klf2
ENSMUSG00000022542,0.46728046832401227,0.0,0.0,0.4621370865841335,0.47239241380622393,Sept12
ENSMUSG00000079298,0.46707368531925036,0.0,0.0,0.46192903923468237,0.472186901290725,Klrb1b
ENSMUSG00000026880,0.46682685517706457,0.0,0.0,0.46168070062664796,0.4719415869624678,Stom
ENSMUSG00000086892,0.4668151372534715,0.0,0.0,0.46166891111075814,0.4719299409803768,4933430M04Rik
ENSMUSG00000029153,0.4668081022498653,0.0,0.0,0.46166183312668463,0.4719229491669036,Ociad2
ENSMUSG00000087292,0.46668772199603886,0.0,0.0,0.4615407175093128,0.4718033078661896,Gm13832
ENSMUSG00000024682,0.466674611525166,0.0,0.0,0.46152752696245347,0.4717902778624494,Gif
ENSMUSG00000043312,0.4666577591875031,0.0,0.0,0.4615105716976152,0.4717735289548064,Olfr131
ENSMUSG00000044734,0.4666138024092222,0.0,0.0,0.46146634646703427,0.47172984194074175,Serpinb1a
ENSMUSG00000027322,0.4664801789363573,0.0,0.0,0.4613319070876188,0.4715970383653578,Siglec1
ENSMUSG00000001020,0.4664428608818737,0.0,0.0,0.4612943612108729,0.47155994924848266,S100a4
ENSMUSG00000022652,0.46643783213732765,0.0,0.0,0.4612893017678523,0.4715549513527339,Morc1
ENSMUSG00000016257,0.46638031651155853,0.0,0.0,0.46123143505600184,0.4714977885327754,Slmo2
ENSMUSG00000097191,0.4661308495525745,0.0,0.0,0.46098044581127756,0.4712498513278664,5730422E09Rik
ENSMUSG00000052727,0.4661071254574724,0.0,0.0,0.4609565769910069,0.47122627266894535,Map1b
ENSMUSG00000069041,0.4660592930975447,0.0,0.0,0.4609084528598333,0.4711787335142139,Slc25a31
ENSMUSG00000032311,0.4658069582719481,0.0,0.0,0.46065457932567705,0.4709279449709518,Nrg4
ENSMUSG00000050700,0.46531547732646744,0.0,0.0,0.4601601038064359,0.4704394733948853,Emilin3
ENSMUSG00000085820,0.4652896145260689,0.0,0.0,0.46013408351360563,0.47041376886710595,4933406K04Rik
ENSMUSG00000039904,0.46528324256147874,0.0,0.0,0.46012767274807304,0.4704074358957023,Gpr37
ENSMUSG00000090394,0.4652791582255254,0.0,0.0,0.46012356354156675,0.47040337655353254,4930523C07Rik
ENSMUSG00000020916,0.4652604433322093,0.0,0.0,0.4601047346913642,0.47038477618181107,Krt36
ENSMUSG00000027296,0.4649627881398087,0.0,0.0,0.4598052676696749,0.4700889418115377,Itpka
ENSMUSG00000066108,0.46477476628072945,0.0,0.0,0.4596161019247271,0.4699020695298576,Muc5b
ENSMUSG00000053044,0.4647720914093383,0.0,0.0,0.4596134107833519,0.46989941100948174,Cd8b1
ENSMUSG00000026668,0.464618384069805,0.0,0.0,0.4594587686735192,0.46974664309946024,Ucma
ENSMUSG00000019944,0.46455923745671696,0.0,0.0,0.45939926244398854,0.46968785789719103,Rhobtb1
ENSMUSG00000026580,0.4644089166666608,0.0,0.0,0.4592480278991798,0.46953845542606115,Selp
ENSMUSG00000056124,0.46438244466065587,0.0,0.0,0.45922139500881537,0.4695121451087437,B4galt6
ENSMUSG00000046834,0.46429296157124356,0.0,0.0,0.4591313681521051,0.4694232085067358,Krt1
ENSMUSG00000042371,0.4641968498341258,0.0,0.0,0.45903467248507207,0.46932768362327576,Slc5a10
ENSMUSG00000058488,0.46397931833083417,0.0,0.0,0.4588158198138795,0.4691114799134233,Kl
ENSMUSG00000036594,0.46378716513925833,0.0,0.0,0.4586225001095886,0.4689204990965632,H2-Aa
ENSMUSG00000044265,0.46374112351670393,0.0,0.0,0.45857617905275927,0.4688747383141848,Olfm5
