,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000031620,0.32027206847491163,0.0,0.0,0.3143725624815819,0.3261468369055666,1700007B14Rik
ENSMUSG00000029617,0.32025894858727444,0.0,0.0,0.3143593878584806,0.32613377253513376,Ccz1
ENSMUSG00000036256,0.32024177291364364,0.0,0.0,0.31434214053230003,0.32611666953749746,Igfbp7
ENSMUSG00000041773,0.32021444717605296,0.0,0.0,0.31431470080669693,0.3260894594162749,Enc1
ENSMUSG00000063765,0.32016773531335074,0.0,0.0,0.31426779411051503,0.3260429451709239,Chadl
ENSMUSG00000048191,0.32009136646420283,0.0,0.0,0.31419110679172446,0.32596689934352496,Muc6
ENSMUSG00000016624,0.32006969293810017,0.0,0.0,0.3141693428977695,0.3259453174773408,Phf21b
ENSMUSG00000016356,0.31998242238076147,0.0,0.0,0.31408170852826045,0.32585841593558795,Col20a1
ENSMUSG00000073154,0.3199705478377921,0.0,0.0,0.3140697844906488,0.32584659159536533,9330158H04Rik
ENSMUSG00000010311,0.31995469877394006,0.0,0.0,0.31405386936873414,0.3258308095347259,Optc
ENSMUSG00000015711,0.31991841367172275,0.0,0.0,0.314017433044611,0.3257946778184122,Prune1
ENSMUSG00000025813,0.3198449190701141,0.0,0.0,0.31394363219992993,0.3257214938436679,Homer2
ENSMUSG00000063672,0.31983383244161767,0.0,0.0,0.3139324993809901,0.32571045406698546,Nkx6-3
ENSMUSG00000015467,0.31981374456249534,0.0,0.0,0.3139123278134666,0.32569045107465433,Egfl8
ENSMUSG00000029477,0.3198064596077628,0.0,0.0,0.31390501251009606,0.3256831969031775,Morn3
ENSMUSG00000032360,0.31977939966899016,0.0,0.0,0.3138778398475491,0.32565625130264186,Hcrtr2
ENSMUSG00000025475,0.31973067481985984,0.0,0.0,0.3138289120493527,0.32560773230992696,Adgra1
ENSMUSG00000022257,0.3197241165368761,0.0,0.0,0.31382232645215835,0.32560120173250817,Laptm4b
