,NMP_2_corr,NMP_2_pval,NMP_2_qval,NMP_2_ci_low,NMP_2_ci_high,gene_annotation
ENSMUSG00000015721,0.023381465578051455,2.8088035062569403e-12,3.4981101595627677e-12,0.016824048359865517,0.029936871520459988,Nlrp5
ENSMUSG00000063320,0.023373424732956425,2.8573122738405805e-12,3.5583429341787435e-12,0.01681600539411201,0.0299288334869414,1190007I07Rik
ENSMUSG00000020375,0.023366282334560503,2.901089209971855e-12,3.612677129398914e-12,0.016808861112721833,0.02992169358525838,Rufy1
ENSMUSG00000108434,0.023365690481960938,2.9047461399470288e-12,3.6170475847228e-12,0.016808269104118582,0.029921101939518132,RP23-291B1.2
ENSMUSG00000026766,0.02336223906245987,2.926161934404264e-12,3.6435301660154926e-12,0.016804816774965415,0.029917651726236526,Mmadhc
ENSMUSG00000028396,0.02335578198640105,2.966644183227405e-12,3.693562271125722e-12,0.016798357997507035,0.029911196906409664,2310002L09Rik
ENSMUSG00000087029,0.023350935657290437,2.997388238102602e-12,3.7314611105311374e-12,0.01679351039177822,0.02990635227034452,Gm14133
ENSMUSG00000031864,0.0233437629136597,3.0434647393192524e-12,3.7884377550074165e-12,0.016786335759271808,0.029899182031917514,Ints10
ENSMUSG00000093658,0.023333389225789758,3.111334521440683e-12,3.872724216497422e-12,0.016775959340781695,0.029888811966042508,Gm20617
ENSMUSG00000020131,0.023313041619436828,3.2487966676532275e-12,4.043210451349455e-12,0.016755606382520345,0.029868471460000497,Pcsk4
ENSMUSG00000019178,0.023309275789524204,3.2748825707204197e-12,4.075468441194574e-12,0.016751839562700092,0.02986470694358136,Styxl1
ENSMUSG00000035041,0.023308109341885735,3.2830041322108864e-12,4.085368345364505e-12,0.016750672808480267,0.029863540902753432,Creb3l3
ENSMUSG00000020472,0.023293516392390797,3.3862939573353144e-12,4.2134750273918835e-12,0.016736076024980635,0.02984895304119101,Zkscan17
ENSMUSG00000034820,0.02329004067712715,3.411361287505134e-12,4.244235447999699e-12,0.01673259939695468,0.029845478537347692,Cpsf7
ENSMUSG00000038209,0.023287351727373343,3.4308791009259555e-12,4.268302188291566e-12,0.01672990974116092,0.02984279052468752,Itln1
