,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000006005,0.014852923906595851,9.082116238306358e-06,1.1019179575158021e-05,0.008293734277368238,0.02141083546913908,Tpr
ENSMUSG00000024359,0.014842332392160228,9.216575251745198e-06,1.1181211363813028e-05,0.008283141155274985,0.021400246473339598,Hspa9
ENSMUSG00000090342,0.014833694177772758,9.327643183858106e-06,1.1314836731723529e-05,0.00827450163080603,0.021391610312008986,Vmn2r46
ENSMUSG00000019761,0.01483351216987657,9.3299970935558e-06,1.1317132979644384e-05,0.008274319595316848,0.021391428347360353,Krt10
ENSMUSG00000092019,0.014827804247151466,9.404106346119609e-06,1.140646275120683e-05,0.008268610807472591,0.021385721780694842,Gm4027
ENSMUSG00000037610,0.014826933023952592,9.415467290259774e-06,1.141967855112671e-05,0.008267739452264711,0.02138485076443921,Kcnmb2
ENSMUSG00000048284,0.014815852650687397,9.561106476234144e-06,1.1595173435638465e-05,0.008256657400954204,0.021373773022246915,Tas2r126
ENSMUSG00000004936,0.014814922535737587,9.573429223208367e-06,1.1609544319283406e-05,0.008255727145218272,0.021372843128082856,Map2k1
ENSMUSG00000038527,0.014814503905301639,9.57898045171443e-06,1.1615702476934493e-05,0.008255308451420357,0.021372424597015473,C1rl
ENSMUSG00000100138,0.01481428833097916,9.581840263793488e-06,1.1618596511095305e-05,0.008255092844470445,0.02137220907386208,Gm28745
ENSMUSG00000058368,0.014812987348630803,9.59911643548775e-06,1.1638970157740887e-05,0.00825379166522978,0.02137090840030415,Krtap21-1
ENSMUSG00000096220,0.014796073899522358,9.8264411741796e-06,1.19140140102942e-05,0.008236875658440067,0.02135399896361206,Olfr775
ENSMUSG00000069998,0.014786397973604926,9.958793038085067e-06,1.2073290868608758e-05,0.008227198271000399,0.021344325331449573,Olfr372
ENSMUSG00000109980,0.014784994839724112,9.978126542197561e-06,1.2096132072484792e-05,0.008225794925282042,0.021342922530090826,Gm45538
ENSMUSG00000090404,0.014783319249435866,1.0001261135519102e-05,1.2123578720216501e-05,0.008224119082056109,0.021341247336858972,Gm8362
ENSMUSG00000097807,0.014783184674133658,1.0003121414906631e-05,1.2125235101396574e-05,0.00822398448644077,0.021341112793444816,Gm26553
ENSMUSG00000066027,0.01475198441740979,1.0443449801323791e-05,1.2655228247475531e-05,0.008192779526687196,0.021309919923310747,Gm10436
ENSMUSG00000074928,0.014745776562762455,1.0533241498014504e-05,1.2763406636030603e-05,0.008186570737810922,0.021303713536835994,Krtap14
ENSMUSG00000086939,0.01473074591886098,1.0753711230008571e-05,1.3027983722449938e-05,0.008171537834020956,0.021288686445624587,Gm13530
ENSMUSG00000030084,0.014726571820356823,1.0815714406056359e-05,1.3102453253934757e-05,0.008167363108458428,0.021284513333197728,Plxna1
ENSMUSG00000095916,0.014722839482359236,1.0871444481143001e-05,1.3169316405221184e-05,0.008163630209960037,0.021280781876723665,Vmn1r191
ENSMUSG00000102909,0.01471132564119108,1.1045098139651847e-05,1.3378354687949292e-05,0.008152114640862051,0.021269270753804848,Gm2453
ENSMUSG00000020694,0.014694467003990838,1.1304147571464094e-05,1.3690776991642978e-05,0.008135253476754865,0.021252416093545293,Tlk2
ENSMUSG00000108151,0.014690833661835826,1.136073214422765e-05,1.375795085356009e-05,0.008131619590494106,0.02124878360800489,Gm44290
