,Surface ectoderm_corr,Surface ectoderm_pval,Surface ectoderm_qval,Surface ectoderm_ci_low,Surface ectoderm_ci_high,gene_annotation
ENSMUSG00000005124,0.7433024268881085,0.0,0.0,0.7403524336990432,0.7462237909737078,Wisp1
ENSMUSG00000033227,0.7424160327045528,0.0,0.0,0.7394573754003074,0.7453460108965555,Wnt6
ENSMUSG00000097697,0.7393930966977244,0.0,0.0,0.7364049701802151,0.7423523758176085,4833412C05Rik
ENSMUSG00000025402,0.7392429211127246,0.0,0.0,0.7362533337743352,0.7422036527843823,Nab2
ENSMUSG00000039683,0.7385800424018276,0.0,0.0,0.7355840105516142,0.7415471821881222,Sdk1
ENSMUSG00000052957,0.7352467897741104,0.0,0.0,0.7322184406737712,0.7382460663262917,Gas1
ENSMUSG00000063011,0.7351081490116503,0.0,0.0,0.732078458935999,0.7381087591237355,Msln
ENSMUSG00000073052,0.7340846494425195,0.0,0.0,0.7310450676864088,0.7370950967173415,D130052B06Rik
ENSMUSG00000026303,0.7319135735529582,0.0,0.0,0.728853055447113,0.7349448428469559,Mlph
ENSMUSG00000004665,0.7305718149541356,0.0,0.0,0.7274983892274215,0.7336159221020482,Cnn2
ENSMUSG00000021186,0.7298806064064897,0.0,0.0,0.7268005406550306,0.732931317903775,Fbln5
ENSMUSG00000022665,0.729161900032999,0.0,0.0,0.7260749368451785,0.7322194720629968,Ccdc80
ENSMUSG00000032231,0.7291412212653042,0.0,0.0,0.7260540597247741,0.732198990589092,Anxa2
ENSMUSG00000042388,0.7258069199392813,0.0,0.0,0.7226878499046357,0.7288964291169591,Dlgap3
ENSMUSG00000024395,0.721188112465405,0.0,0.0,0.718025085945934,0.7243213514009795,Lims2
ENSMUSG00000000078,0.721185125047843,0.0,0.0,0.7180220701894476,0.7243183921782729,Klf6
ENSMUSG00000036098,0.7201910169278118,0.0,0.0,0.7170185384614209,0.723333659909605,Myrf
ENSMUSG00000058672,0.7201023398629898,0.0,0.0,0.7169290214247926,0.7232458185744346,Tubb2a
ENSMUSG00000004791,0.7190306679234683,0.0,0.0,0.7158472066086952,0.7221842384757033,Pgf
ENSMUSG00000027570,0.7135634132513415,0.0,0.0,0.7103284447661631,0.7167682372330251,Col9a3
ENSMUSG00000038473,0.7123891074643344,0.0,0.0,0.7091431276964565,0.7156048896678466,Nos1ap
ENSMUSG00000022676,0.7101618568856086,0.0,0.0,0.7068950429356461,0.7133983740260518,Snai2
ENSMUSG00000051041,0.7057471317425785,0.0,0.0,0.7024392165597704,0.7090245587693085,Olfml1
ENSMUSG00000033453,0.7051661075293247,0.0,0.0,0.7018528023004124,0.7084488999488499,Adamts15
ENSMUSG00000027015,0.703870601890513,0.0,0.0,0.7005452946836916,0.7071653417611322,Cybrd1
ENSMUSG00000030772,0.703817112116579,0.0,0.0,0.7004913098433662,0.7071123448153694,Dkk3
ENSMUSG00000028128,0.702883584820003,0.0,0.0,0.6995491485568309,0.7061874126137121,F3
ENSMUSG00000020473,0.7025765562571219,0.0,0.0,0.6992392828872649,0.7058832084344417,Aebp1
ENSMUSG00000074577,0.701372107237411,0.0,0.0,0.6980237162286284,0.7046898274721506,Fam65c
ENSMUSG00000048096,0.7007105304973891,0.0,0.0,0.6973560410306895,0.70403432217967,Lmod1
ENSMUSG00000043110,0.7001492806282482,0.0,0.0,0.6967896220879956,0.7034782185939589,Lrrn4
ENSMUSG00000027560,0.7001454013062224,0.0,0.0,0.6967857070522557,0.7034743748285196,Dok5
ENSMUSG00000029468,0.6988588656214488,0.0,0.0,0.695487338337541,0.702199620364017,P2rx7
ENSMUSG00000075590,0.698092282507717,0.0,0.0,0.6947137149729102,0.701440046914439,Nrbp2
ENSMUSG00000015702,0.6973799624200911,0.0,0.0,0.6939948599887543,0.7007342334915913,Anxa9
ENSMUSG00000039616,0.6967505093155759,0.0,0.0,0.6933596378347603,0.7001105246412028,Mocos
ENSMUSG00000027188,0.6967249896334702,0.0,0.0,0.6933338843713978,0.7000852377380932,Pamr1
ENSMUSG00000027858,0.6958718724053239,0.0,0.0,0.6924729568735096,0.699239897409134,Tspan2
ENSMUSG00000037679,0.6956424420502079,0.0,0.0,0.6922414277402187,0.6990125569024298,Inf2
ENSMUSG00000068566,0.6937911643413035,0.0,0.0,0.6903732405686893,0.697178117293084,Myadm
ENSMUSG00000027800,0.6927922134562813,0.0,0.0,0.6893651842590751,0.6961882338353583,Tm4sf1
ENSMUSG00000027695,0.6923597535848337,0.0,0.0,0.6889287866379395,0.6957596953748004,Pld1
ENSMUSG00000035711,0.6918235297339796,0.0,0.0,0.6883876836719345,0.69522833047284,Dok3
ENSMUSG00000045827,0.6913457775420387,0.0,0.0,0.6879055876214099,0.6947549042587605,Serpinb9
ENSMUSG00000022261,0.6911178103903016,0.0,0.0,0.6876755487974233,0.6945290002759206,Sdc2
ENSMUSG00000021933,0.6898726993391034,0.0,0.0,0.6864191348827027,0.6932951459717804,Gucy1b2
ENSMUSG00000045545,0.6895281127501998,0.0,0.0,0.6860714238497948,0.6929536711616919,Krt14
ENSMUSG00000054252,0.6891469677980088,0.0,0.0,0.6856868248100297,0.6925759663374399,Fgfr3
ENSMUSG00000040896,0.6886736131639591,0.0,0.0,0.6852091831370853,0.6921068814773931,Kcnd3
ENSMUSG00000032515,0.6883510576667154,0.0,0.0,0.6848837080531093,0.691787233847814,Csrnp1
ENSMUSG00000045777,0.6882997333798455,0.0,0.0,0.6848319193359275,0.691736372129956,Ifitm10
ENSMUSG00000022371,0.6882228955428306,0.0,0.0,0.6847543862635374,0.6916602267435052,Col14a1
ENSMUSG00000078954,0.6868944792467457,0.0,0.0,0.6834139627549457,0.6903437698460596,Arhgap8
ENSMUSG00000027460,0.6866350823210183,0.0,0.0,0.6831522239459141,0.6900867055402161,Angpt4
ENSMUSG00000023151,0.6856715591233508,0.0,0.0,0.6821800097177979,0.6891318391730984,Lrrc69
