,Endothelial/Mixed_corr,Endothelial/Mixed_pval,Endothelial/Mixed_qval,Endothelial/Mixed_ci_low,Endothelial/Mixed_ci_high,gene_annotation
ENSMUSG00000091734,-0.186588745712516,7.022205076356581e-211,1.898570411129906e-210,-0.19808701091390424,-0.17503913473576035,Vmn1r29
ENSMUSG00000069080,-0.18658902839078112,7.011739469266189e-211,1.895949641513474e-210,-0.19808729229675276,-0.17503941863726535,Lcn11
ENSMUSG00000075600,-0.18658943441900147,6.99673432810016e-211,1.8921006853564834e-210,-0.19808769646428298,-0.17503982642250385,Zc3h3
ENSMUSG00000094898,-0.18659543695400932,6.778610926136891e-211,1.833518293031981e-210,-0.19809367149124552,-0.1750458549329248,Vmn1r201
ENSMUSG00000111149,-0.1865974191035813,6.708084876229987e-211,1.8146419114279268e-210,-0.19809564455695763,-0.17504784566025527,RP23-255F14.8
ENSMUSG00000094932,-0.18660098063955347,6.5831999247300106e-211,1.7810548159996828e-210,-0.19809918977077218,-0.17505142260902282,Gm2007
ENSMUSG00000026074,-0.18660199993723062,6.547887697539006e-211,1.771696481705727e-210,-0.19810020439705622,-0.17505244631783792,Map4k4
ENSMUSG00000055150,-0.1866021033633013,6.54431522750213e-211,1.770925024420063e-210,-0.19810030734912873,-0.1750525501914992,Zfp78
ENSMUSG00000110467,-0.18660298302702047,6.51400909935609e-211,1.7629183356193862e-210,-0.19810118298136867,-0.1750534336620952,RP24-372G15.1
ENSMUSG00000097302,-0.18660306643300315,6.511142887249898e-211,1.7623368996556003e-210,-0.19810126600510264,-0.17505351742903075,1700034B16Rik
ENSMUSG00000009047,-0.18660380183254097,6.48592564510153e-211,1.7557050323983767e-210,-0.19810199803430523,-0.17505425601113622,Gm5965
ENSMUSG00000094535,-0.1866042225540509,6.4715427755620505e-211,1.7520048321270202e-210,-0.1981024168276432,-0.17505467855339651,Olfr850
ENSMUSG00000098234,-0.1866061457581683,6.406200351957174e-211,1.734506297323032e-210,-0.1981043312176385,-0.17505661008059054,Snhg6
